Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-07-27,3239.288116455078,3239.288116455078,3180.123036702474,3194.914306640625,88570800,0.0,0.0
2022-07-28,3209.7050702856222,3254.0788731006305,3209.7050702856222,3224.496337890625,136421400,0.0,0.0
2022-07-29,3246.683239298129,3276.265774508135,3209.7050702856222,3224.496337890625,228669400,0.0,0.0
2022-08-01,3246.683239298129,3261.4745069031324,3202.309436483121,3224.496337890625,200791700,0.0,0.0
2022-08-02,3224.4965642755683,3254.0791015625,3180.1227583451705,3254.0791015625,173931000,0.0,0.0
2022-08-03,3261.474744822881,3268.870379164883,3217.100938770869,3239.287841796875,103412300,0.0,0.0
2022-08-04,3239.2876054956278,3246.683239298129,3217.1007040881236,3224.496337890625,120175700,0.0,0.0
2022-08-05,3224.496337890625,3254.0788731006305,3194.913802680619,3224.496337890625,168879400,0.0,0.0
2022-08-08,3224.496699352832,3254.0792378790043,3209.7054300897453,3231.892333984375,107242600,0.0,0.0
2022-08-09,3254.0787317531176,3305.848166121917,3246.6830982718607,3261.474365234375,181747100,0.0,0.0
2022-08-10,3217.1010934781034,3231.892362873405,3180.1229199898494,3187.5185546875,205341100,0.0,0.0
2022-08-11,3239.287732354526,3261.4746346309266,3209.7051959859914,3217.100830078125,193329000,0.0,0.0
2022-08-12,3209.705576578776,3217.1012115478516,3194.914306640625,3194.914306640625,103916700,0.0,0.0
2022-08-15,3202.309706009266,3217.1009748591932,3180.122802734375,3180.122802734375,135099400,0.0,0.0
2022-08-16,3217.1009840920706,3217.1009840920706,3157.9359085225615,3165.33154296875,205432400,0.0,0.0
2022-08-18,3202.31005859375,3209.705693832997,3187.518788115257,3202.31005859375,138795300,0.0,0.0
2022-08-19,3209.7053404342296,3209.7053404342296,3180.122802734375,3180.122802734375,84552100,0.0,0.0
2022-08-22,3194.9142088700237,3202.3098436127784,3157.93603515625,3157.93603515625,121124400,0.0,0.0
2022-08-23,3150.5402650345204,3187.5184371593386,3150.5402650345204,3180.122802734375,107799500,0.0,0.0
2022-08-24,3180.1229296419724,3202.309833802265,3165.331660201777,3172.727294921875,75055900,0.0,0.0
2022-08-25,3165.3316698990047,3180.122939384514,3157.93603515625,3157.93603515625,117653800,0.0,0.0
2022-08-26,3165.3316698990047,3172.7273046417595,3157.93603515625,3157.93603515625,87375200,0.0,0.0
2022-08-29,3143.1445312500005,3157.9357996323533,3120.957628676471,3143.14453125,88409800,0.0,0.0
2022-08-30,3143.144648735512,3180.1228210735767,3143.144648735512,3150.540283203125,157219500,0.0,0.0
2022-08-31,3143.1448518955217,3217.1012013518866,3135.749216949885,3209.70556640625,191475700,0.0,0.0
2022-09-01,3194.91439172836,3246.683837890625,3187.5187565623223,3246.683837890625,139929300,0.0,0.0
2022-09-02,3261.4745929160813,3291.05712890625,3239.287690923455,3291.05712890625,220616600,0.0,0.0
2022-09-05,3276.2662765735636,3401.992070482707,3268.8706416377313,3394.596435546875,261126600,0.0,0.0
2022-09-06,3453.761155513295,3468.5524238452576,3365.0135455215186,3372.4091796875,188042700,0.0,0.0
2022-09-07,3335.431052169458,3365.013589217524,3298.452880859375,3298.452880859375,231936700,0.0,0.0
2022-09-08,3313.244089673913,3416.782967476223,3313.244089673913,3401.99169921875,250373200,0.0,0.0
2022-09-09,3431.5741085954446,3431.5741085954446,3379.8046716123235,3409.38720703125,119286700,0.0,0.0
2022-09-12,3409.387350517407,3424.1786188493693,3372.4091796875,3372.4091796875,97988000,0.0,0.0
2022-09-13,3372.409657307587,3431.574739014738,3372.409657307587,3387.200927734375,141828800,0.0,0.0
2022-09-14,3342.827116454012,3409.3878333745565,3335.4314812406183,3387.200927734375,149960600,0.0,0.0
2022-09-15,3401.991573176518,3475.947911723834,3394.595939321787,3409.38720703125,295664100,0.0,0.0
2022-09-16,3409.3873768446183,3416.7830110677087,3328.0354003906255,3328.035400390625,282492200,0.0,0.0
2022-09-19,3342.827000991521,3401.9920806550876,3328.035731075629,3379.80517578125,134432000,0.0,0.0
2022-09-20,3379.805217105721,3401.992122250835,3320.64013671875,3320.64013671875,138695500,0.0,0.0
2022-09-21,3320.6401061341003,3365.013916015625,3305.848836173592,3365.013916015625,159976900,0.0,0.0
2022-09-22,3328.0353746916117,3387.200448019463,3328.0353746916117,3372.4091796875,100425300,0.0,0.0
2022-09-23,3357.6184409005305,3372.4097115652903,3313.24462890625,3313.24462890625,139074000,0.0,0.0
2022-09-26,3313.244596640969,3357.6184082031245,3261.4751498184537,3357.618408203125,280747500,0.0,0.0
2022-09-27,3328.0357512417218,3365.013926255519,3313.2444812362032,3350.22265625,213704600,0.0,0.0
2022-09-28,3335.431025952364,3372.409196971792,3313.2441233407076,3342.82666015625,161815300,0.0,0.0
2022-09-29,3342.82717023577,3357.6184409005305,3298.45335824149,3313.24462890625,169368600,0.0,0.0
2022-09-30,3291.057596525264,3335.4314068154927,3261.475056331779,3320.64013671875,224229200,0.0,0.0
2022-10-03,3328.0357512417218,3365.013926255519,3313.2444812362032,3350.22265625,159559600,0.0,0.0
2022-10-04,3372.409385944235,3438.970097508924,3372.409385944235,3431.574462890625,256367100,0.0,0.0
2022-10-05,3446.3660313274363,3446.3660313274363,3357.6184082031245,3357.618408203125,182246200,0.0,0.0
2022-10-06,3357.6175642669073,3379.804464471314,3335.4306640625005,3335.4306640625,123346200,0.0,0.0
