ticker,pdf_period,report_date,cash_and_equivalents,trade_receivables,inventories,current_assets,fixed_assets,total_assets,trade_payable,current_bank_loans,current_liabilities,longterm_bank_loans,total_liabilities,common_stocks,retained_earnings,total_equity,revenues,gross_profit,operating_profit,interest_finance_costs,ebt,tax,net_profit,net_profit_attributable,comprehensive_income,comprehensive_attributable,cfo,cfi,cff,net_change_cash,cash_end_period,current_ratio,dar,der,eps,per,book_value,pbv,roa,roe,gpm,opm,npm,dps,dpr,dividend_yield,listed_shares_million,market_cap_billion_idr,usd_rate_idr
INTP,2023,Dec 2022,4525505.0,2651672.0,2830700.0,10312090.0,14894921.0,25706169.0,1834752.0,,4822152.0,,6139263.0,1840616.0,17770195.0,6139263.0,16328278.0,5143158.0,1808861.0,42914.0,2289309.0,-446875.0,1842434.0,1842434.0,1841868.0,1841868.0,2401773.0,-873589.0,-3240305.0,-1712121.0,4525505.0,,0.24,0.31,414.83,23.87,5315.0,2.28,7.17,9.42,31.5,11.08,11.28,500.0,120.53,4.13,3681.0,36444.0,15592.0
INTP,2023,Jun 2023,3475667.0,2822668.0,3099309.0,9799834.0,14593838.0,24906388.0,1217600.0,,3857922.0,,5190022.0,1840616.0,17919655.0,5190022.0,7970017.0,2431991.0,837140.0,26122.0,882781.0,-184349.0,698432.0,698432.0,698432.0,698432.0,-48553.0,-218031.0,-760553.0,-1027137.0,3475667.0,,0.21,0.26,551.79,17.99,5356.0,1.85,2.8,3.54,30.51,10.5,8.76,160.0,29.0,1.62,3681.0,36536.0,15000.0
ITMG,2023,Dec 2019,2220170.0,1863554.0,1430367.0,6589013.0,3107016.0,16860077.0,1084070.0,,3253201.0,503859.0,4526212.0,890974.0,7157202.0,4526212.0,23923930.0,4555664.0,2517435.0,-20890.0,2592487.0,-828417.0,1764070.0,1804846.0,1789506.0,1830309.0,1247464.0,-1337660.0,-2836692.0,-2926888.0,2220170.0,,0.27,0.37,2006.36,5.72,10916.0,1.86,10.46,14.3,19.04,10.52,7.37,2750.0,137.06,13.58,1130.0,12966.0,13945.0
ITMG,2023,Dec 2020,3264729.0,1053079.0,849445.0,5923155.0,2762450.0,16342462.0,879334.0,,2923967.0,368226.0,4405542.0,901197.0,6843407.0,4405542.0,16719164.0,2809011.0,1465665.0,-48987.0,1023360.0,-489796.0,533564.0,556710.0,446437.0,469527.0,2436540.0,-632426.0,-778286.0,1025828.0,3264729.0,,0.27,0.37,855.52,16.19,10564.0,1.09,3.26,4.47,16.8,8.77,3.19,877.0,102.51,7.64,1130.0,15649.0,14105.0
ITMG,2023,Dec 2021,9859451.0,2665649.0,891056.0,14098114.0,2365301.0,23775564.0,1216603.0,,5204518.0,199375.0,6630519.0,911675.0,12189693.0,6630519.0,29634045.0,13078009.0,11289376.0,-38369.0,8862319.0,-2078979.0,6783340.0,6785908.0,6588425.0,6590994.0,8814204.0,-352202.0,-1914743.0,6547259.0,9859451.0,,0.28,0.39,3405.9,5.99,15174.0,0.91,28.53,39.56,44.13,38.1,22.89,1551.08,45.54,11.2,1130.0,23050.0,14269.0
ITMG,2023,Dec 2022,22301659.0,4373275.0,1498235.0,29758034.0,2359787.0,41165640.0,2249551.0,,9130878.0,193380.0,10756874.0,996204.0,23619635.0,10756874.0,56695833.0,29537360.0,26236908.0,52296.0,24086397.0,-5386210.0,18700187.0,18711507.0,19021086.0,19032406.0,20666759.0,-1110946.0,-7867567.0,11688247.0,22301659.0,,0.26,0.35,14613.6,2.67,26912.0,0.76,45.43,61.5,52.1,46.28,32.98,7168.0,49.05,35.14,1130.0,44095.0,15592.0
ITMG,2023,Jun 2023,15255780.0,2983155.0,1180260.0,21325080.0,2279775.0,33406035.0,1857480.0,,4870110.0,,6463815.0,958380.0,20182815.0,6463815.0,19487835.0,6873690.0,5610975.0,27360.0,5943390.0,-1342770.0,4600620.0,4604220.0,4704990.0,4708590.0,2292600.0,-1401090.0,-7165380.0,-6273870.0,15255780.0,,0.19,0.24,16271.99,1.48,23844.0,1.64,13.77,17.08,35.27,28.79,23.61,6416.66,39.43,16.44,1130.0,27259.0,15000.0
KLBF,2023,Dec 2019,3040487.0,3572855.0,3737976.0,11222491.0,7666315.0,20264727.0,1215860.0,,2577109.0,647647.0,3559144.0,468751.0,15361121.0,3559144.0,22633476.0,10243468.0,3596877.0,-40420.0,3402617.0,-865015.0,2537602.0,2506765.0,2513242.0,2482456.0,2502969.0,-1900541.0,-706915.0,-104488.0,3040487.0,,0.18,0.21,54.79,29.57,356.0,4.27,12.52,15.19,45.26,15.89,11.21,26.0,47.46,1.71,46875.0,75938.0,13945.0
KLBF,2023,Dec 2020,5207929.0,3477221.0,3599746.0,13075332.0,8157762.0,22564300.0,1240386.0,,3176726.0,722819.0,4288218.0,468751.0,16875671.0,4288218.0,23112655.0,10246322.0,3555246.0,-89580.0,3627633.0,-828010.0,2799623.0,2733260.0,2865987.0,2797950.0,4221550.0,-951215.0,-1099712.0,2170622.0,5207929.0,,0.19,0.23,55.87,26.49,390.0,4.16,12.41,15.32,44.33,15.38,12.11,26.0,46.54,1.6,46875.0,69375.0,14105.0
KLBF,2023,Dec 2021,6216248.0,3431018.0,5087300.0,15712210.0,7994022.0,25666635.0,1667596.0,,3534656.0,490277.0,4400757.0,468751.0,18746849.0,4400757.0,26261195.0,11283784.0,4021372.0,-57384.0,4143265.0,-911257.0,3232008.0,3183621.0,3208499.0,3159584.0,2825946.0,-1056019.0,-745177.0,1024751.0,6216248.0,,0.17,0.21,63.86,25.29,454.0,3.26,12.59,15.2,42.97,15.31,12.31,28.0,43.84,1.89,46875.0,75703.0,14269.0
